contest_id,symbol,title,estimated_score
abc024,C,"民族大移動",330
abc024,D,"動的計画法",804
abc025,A,"25個の文字列",207
abc025,B,"双子とスイカ割り",238
abc025,C,"双子と○×ゲーム",569
abc025,D,"25個の整数",1080
abc026,A,"掛け算の最大値",197
abc026,B,"N重丸",182
abc026,C,"高橋君の給料",344
abc026,D,"高橋君ボール1号",651
abc027,A,"長方形",180
abc027,B,"島と橋",287
abc027,C,"倍々ゲーム",598
abc027,D,"ロボット",925
abc028,A,"テスト評価",166
abc028,B,"文字数カウント",166
abc028,C,"数を3つ選ぶマン",159
abc028,D,"乱数生成",332
abc029,A,"複数形",172
abc029,B,"カキ",172
abc029,C,"Brute-force Attack",224
abc029,D,"1",485
abc030,A,"勝率計算",166
abc030,B,"時計盤",239
abc030,C,"飛行機乗り",345
abc030,D,"へんてこ辞書",567
abc031,A,"ゲーム",198
abc031,B,"運動管理",209
abc031,C,"数列ゲーム",456
abc031,D,"語呂合わせ",697
abc032,A,"高橋君と青木君の好きな数",197
abc032,B,"高橋君とパスワード",212
abc032,C,"列",444
abc032,D,"ナップサック問題",647
abc033,A,"暗証番号",162
abc033,B,"町の合併",206
abc033,C,"数式の書き換え",247
abc033,D,"三角形の分類",965
abc034,A,"テスト",155
abc034,B,"ペア",157
abc034,C,"経路",216
abc034,D,"食塩水",470
abc035,A,"テレビ",150
abc035,B,"ドローン",172
abc035,C,"オセロ",307
abc035,D,"トレジャーハント",532
abc036,A,"お茶",133
abc036,B,"回転",152
abc036,C,"座圧",260
abc036,D,"塗り絵",432
abc037,A,"饅頭",168
abc037,B,"編集",168
abc037,C,"総和",297
abc037,D,"経路",466
abc038,A,"お茶",139
abc038,B,"ディスプレイ",146
abc038,C,"単調増加",290
abc038,D,"プレゼント",656
abc039,A,"高橋直体",163
abc039,B,"エージェント高橋君",173
abc039,C,"ピアニスト高橋君",259
abc039,D,"画像処理高橋君",334
abc040,A,"赤赤赤赤青",147
abc040,B,"□□□□□",175
abc040,C,"柱柱柱柱柱",254
abc040,D,"道路の老朽化対策について",523
arc001,A,"センター採点",273
arc001,B,"リモコン",369
arc001,C,"パズルのお手伝い",376
arc001,D,"レースゲーム",526
arc002,A,"うるう年",271
arc002,B,"割り切れる日付",282
arc002,C,"コマンド入力",287
arc002,D,"ボードゲーム",595
arc003,A,"GPA計算",285
arc003,B,"さかさま辞書",298
arc003,C,"暗闇帰り道",545
arc003,D,"シャッフル席替え",612
arc004,A,"2点間距離の最大値 ( The longest distance )",261
arc004,B,"2点間距離の最大と最小 ( Maximum and Minimum )",297
arc004,C,"平均値太郎の憂鬱 ( The melancholy of Taro Heikinchi )",507
arc004,D,"表現の自由 ( Freedom of expression )",632
arc005,A,"大好き高橋君",331
arc005,B,"P-CASカードと高橋君",350
arc005,C,"器物損壊！高橋君",395
arc005,D,"連射王高橋君",574
arc006,A,"宝くじ",279
arc006,B,"あみだくじ",281
arc006,C,"積み重ね",281
arc006,D,"アルファベット探し",487
arc007,A,"帰ってきた器物損壊！高橋君",300
arc007,B,"迷子のCDケース",309
arc007,C,"節約生活",342
arc007,D,"破れた宿題",602
arc008,A,"たこ焼き買えるかな？",259
arc008,B,"謎のたこ焼きおじさん",267
arc008,C,"THE☆たこ焼き祭り2012",532
arc008,D,"タコヤキオイシクナール",634
arc009,A,"元気にお使い！高橋君",280
arc009,B,"おとぎの国の高橋君",304
arc009,C,"高橋君、24歳",470
arc009,D,"覚醒ノ高橋君",601
arc010,A,"名刺交換",299
arc010,B,"超大型連休",313
arc010,C,"積み上げパズル",479
arc010,D,"情報伝播",558
arc011,A,"鉛筆リサイクルの新技術",293
arc011,B,"ルイス・キャロルの記憶術",325
arc011,C,"ダブレット",379
arc011,D,"きつねさんからの挑戦状",605
arc012,A,"週末",309
arc012,B,"アキレスと亀",308
arc012,C,"五目並べチェッカー",536
arc012,D,"Don't worry. Be Together",616
arc013,A,"梱包できるかな？",306
arc013,B,"引越しできるかな？",313
arc013,C,"笑いをとれるかな？",418
arc013,D,"切り分けできるかな？",599
arc014,A,"君が望むなら世界中全てのたこ焼きを赤と青に染め上げよう",250
arc014,B,"あの日したしりとりの結果を僕達はまだ知らない。",336
arc014,C,"魂の還る場所",458
arc014,D,"grepマスター",556
arc015,A,"Celsius と Fahrenheit",219
arc015,B,"真冬日？真夏日？",240
arc015,C,"変わった単位",773
arc015,D,"きんいろクッキー",984
arc016,A,"クイズゲーム",209
arc016,B,"音楽ゲーム",217
arc016,C,"ソーシャルゲーム",723
arc016,D,"軍艦ゲーム",1065
arc017,A,"素数、コンテスト、素数",219
arc017,B,"解像度が低い。",337
arc017,C,"無駄なものが嫌いな人",440
arc017,D,"ARCたんクッキー",677
arc018,A,"BMI",213
arc018,B,"格子点と整数",446
arc018,C,"席替え",689
arc018,D,"僕は友達が少ない",929
arc019,A,"お買い物クライシス",216
arc019,B,"こだわりの名前",393
arc019,C,"最後の森",922
arc019,D,"ほんとうのたたかい",962
arc020,A,"石を滑らせるゲーム",218
arc020,B,"縞模様",327
arc020,C,"A mod B Problem",881
arc020,D,"お菓子の国の旅行",1105
arc021,A,"DEAD END",297
arc021,B,"Your Numbers are XORed...",411
arc021,C,"増築王高橋君",605
arc021,D,"だいたい最小全域木",840
arc022,A,"スーパーICT高校生",246
arc022,B,"細長いお菓子",513
arc022,C,"ロミオとジュリエット",518
arc022,D,"スプリンクラー",985
arc023,A,"経過日数",240
arc023,B,"謎の人物X",302
arc023,C,"タコヤ木",547
arc023,D,"GCD区間",860
arc024,A,"くつがくっつく",238
arc024,B,"赤と黒の木",394
arc024,C,"だれじゃ",513
arc024,D,"バス停",875
arc025,A,"ゴールドラッシュ",237
arc025,B,"チョコレート",424
arc025,C,"ウサギとカメ",668
arc025,D,"コンセント",907
arc026,A,"ダイナミックなポーズ",227
arc026,B,"完全数",411
arc026,C,"蛍光灯",719
arc026,D,"道を直すお仕事",800
arc027,A,"門限",243
arc027,B,"大事な数なのでZ回書きまLた。",532
arc027,C,"最高のトッピングにしような",547
arc027,D,"ぴょんぴょんトレーニング",844
arc028,A,"小石を取るゲーム",267
arc028,B,"特別賞",431
arc028,C,"高橋王国の分割統治",512
arc028,D,"注文の多い高橋商店",915
arc029,A,"高橋君とお肉",273
arc029,B,"高橋君と禁断の書",704
arc029,C,"高橋君と国家",658
arc029,D,"高橋君と木のおもちゃ",817
arc030,A,"閉路グラフ",222
arc030,B,"ツリーグラフ",480
arc030,C,"有向グラフ",748
arc030,D,"グラフではない",1087
arc031,A,"名前",238
arc031,B,"埋め立て",381
arc031,C,"積み木",574
arc031,D,"買い物上手",1024
arc032,A,"ホリドッグ",269
arc032,B,"道路工事",400
arc032,C,"仕事計画",673
arc032,D,"アットコーダーモンスターズ",1054
arc033,A,"隠れた言葉",211
arc033,B,"メタ構文変数",269
arc033,C,"データ構造",460
arc033,D,"見たことのない多項式",880
arc034,A,"首席",228
arc034,B,"方程式",421
arc034,C,"約数かつ倍数",547
arc034,D,"インフレゲーム",900
arc035,A,"高橋くんと回文",173
arc035,B,"アットコーダー王国のコンテスト事情",348
arc035,C,"アットコーダー王国の交通事情",714
arc035,D,"高橋くんとマラソンコース",891
arc036,A,"ぐっすり",218
arc036,B,"山のデータ",374
arc036,C,"偶然ジェネレータ",837
arc036,D,"偶数メートル",810
arc037,A,"全優",202
arc037,B,"バウムテスト",424
arc037,C,"億マス計算",666
arc037,D,"Chaotic Polygons",901
arc038,A,"カードと兄妹",173
arc038,B,"マス目と駒",430
arc038,C,"茶碗と豆",782
arc038,D,"有向グラフと数",1331
arc039,A,"A - B problem",260
arc039,B,"高橋幼稚園",512
arc039,C,"幼稚園児高橋君",812
arc039,D,"旅行会社高橋君",939
arc040,A,"床塗り",176
arc040,B,"直線塗り",347
arc040,C,"Z塗り",480
arc040,D,"カクカク塗り",1147
arc041,A,"コインの反転",199
arc041,B,"アメーバ",368
arc041,C,"ウサギ跳び",631
arc041,D,"辺彩色",1063
arc042,A,"掲示板",330
arc042,B,"アリの高橋くん",371
arc042,C,"おやつ",600
arc042,D,"あまり",763
arc043,A,"点数変換",273
arc043,B,"難易度",484
arc043,C,"転倒距離",909
arc043,D,"引っ越し",1372
arc044,A,"素数判定",246
arc044,B,"最短路問題",563
arc044,C,"ビーム",881
arc044,D,"suffix array",878
arc045,A,"スペース高橋君",175
arc045,B,"ドキドキデート大作戦高橋君",490
arc045,C,"エックスオア多橋君",708
arc045,D,"みんな仲良し高橋君",1167
arc046,A,"ゾロ目数",221
arc046,B,"石取り大作戦",467
arc046,C,"合コン大作戦",758
arc046,D,"うさぎとマス目",1076
arc047,A,"タブの開きすぎ",202
arc047,B,"同一円周上",984
arc047,C,"N!÷K番目の単語",784
arc047,D,"ナナメクエリ",1199
arc048,A,"階段の下",175
arc048,B,"AtCoderでじゃんけんを",372
arc048,C,"足の多い高橋君",1012
arc048,D,"たこ焼き屋とQ人の高橋君",1198
arc049,A,""強調"",193
arc049,B,"高橋ノルム君",459
arc049,C,"ぬりまーす",963
arc049,D,"すわっぷしまーす",1269
arc050,A,"大文字と小文字",155
arc050,B,"花束",672
arc050,C,"LCM 111",896
arc050,D,"Suffix Concat",924
arc051,A,"塗り絵",248
arc051,B,"互除法",263
arc051,C,"掛け算",459
arc051,D,"長方形",939
arc052,A,"何期生？",166
arc052,B,"円錐",381
arc052,C," 高橋くんと不思議な道",859
arc052,D,"9",873
arc053,A,"ドミノ色塗り",153
arc053,B,"回文分割",347
arc053,C,"魔法使い高橋君",886
arc053,D,"2 つの山札",1322
arc054,A,"動く歩道",271
arc054,B,"ムーアの法則",366
arc054,C,"鯛焼き",661
arc054,D,"バブルソート",1138
arc055,A,"数え上げ",216
arc055,B,"せんべい",926
arc055,C,"ABCAC",754
arc055,D,"隠された等差数列",1291
arc056,A,"みんなでワイワイみかん",191
arc056,B,"駐車場",447
arc056,C,"部門分け",740
arc056,D,"サケノミ",1272
arc057,A,"2兆円",241
arc057,B,"高橋君ゲーム",825
arc057,C,"2乗根",1130
arc057,D,"全域木",1228
